	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	track_name	artist	genre
0	0.455	0.9	7	-5.029	1	0.393	0.272	0.0	0.0945	0.188	150.14	70531	4	Intro: O!RUL8,2?	BTS	POP
1	0.595	0.914	11	-3.764	0	0.166	0.0389	0.0	0.457	0.572	146.89	209752	4	N.O	BTS	POP
2	0.801	0.797	2	-4.319	0	0.163	0.0405	2.39e-06	0.115	0.801	97.009	230885	4	We On	BTS	POP
3	0.535	0.382	1	-18.76	1	0.645	0.852	0.0	0.311	0.609	86.969	148073	4	Skit: R U Happy Now?	BTS	POP
4	0.744	0.725	7	-6.29	1	0.112	0.0434	0.0	0.296	0.729	95.981	247450	4	If I Ruled the World	BTS	POP
5	0.656	0.798	0	-6.608	1	0.103	0.00862	0.0	0.321	0.573	92.031	260433	4	Coffee	BTS	POP
6	0.751	0.903	2	-5.413	1	0.354	0.539	0.0	0.343	0.858	96.548	131192	4	BTS Cypher Pt.1	BTS	POP
7	0.72	0.962	11	-2.555	0	0.268	0.2	0.0	0.165	0.667	118.025	246526	4	Attack on Bangtan	BTS	POP
8	0.564	0.945	11	-3.11	0	0.243	0.0789	0.0	0.0873	0.871	105.018	205061	4	Paldogangsan	BTS	POP
9	0.693	0.392	5	-6.615	1	0.0439	0.0508	0.0	0.144	0.472	131.863	86045	4	Outro: Luv in Skool	BTS	POP
0	0.733	0.436	10	-10.489	1	0.08	0.258	0.000573	0.157	0.0976	96.985	202396	4	Lavender Haze	Taylor Swift	POP
1	0.637	0.398	7	-8.294	1	0.0564	0.0573	1.03e-06	0.101	0.0374	108.075	218271	4	Maroon	Taylor Swift	POP
2	0.637	0.643	4	-6.571	1	0.0519	0.13	1.8e-06	0.142	0.533	97.008	200690	4	Anti-Hero	Taylor Swift	POP
3	0.663	0.319	9	-13.481	1	0.0375	0.69	0.000993	0.117	0.193	109.957	256124	4	Snow On The Beach (feat. Lana Del Rey)	Taylor Swift	POP
4	0.696	0.396	2	-10.289	1	0.0656	0.401	5.2e-06	0.125	0.38	120.041	194207	4	You're On Your Own, Kid	Taylor Swift	POP
5	0.643	0.363	0	-11.738	1	0.0767	0.69	5.17e-05	0.115	0.23	139.865	174783	4	Midnight Rain	Taylor Swift	POP
6	0.751	0.502	7	-8.763	1	0.167	0.2	0.0	0.296	0.106	108.943	210557	4	Question...?	Taylor Swift	POP
7	0.798	0.277	4	-11.096	0	0.39	0.173	5.25e-05	0.121	0.163	79.846	164801	4	Vigilante Shit	Taylor Swift	POP
8	0.696	0.559	7	-9.19	1	0.0693	0.0618	5.58e-05	0.0887	0.433	163.999	194166	4	Bejeweled	Taylor Swift	POP
9	0.406	0.306	0	-15.48	1	0.0517	0.785	0.488	0.122	0.122	110.014	247962	4	Labyrinth	Taylor Swift	POP
10	0.642	0.62	8	-7.091	1	0.0666	0.0734	0.0	0.483	0.0969	90.02	204852	4	Karma	Taylor Swift	POP
11	0.337	0.156	0	-14.919	1	0.0518	0.964	7.72e-05	0.115	0.39	176.655	188497	4	Sweet Nothing	Taylor Swift	POP
12	0.662	0.357	4	-14.064	1	0.154	0.553	0.00129	0.0837	0.124	125.966	191039	4	Mastermind	Taylor Swift	POP
0	0.789	0.634	7	-4.762	1	0.0323	0.0348	1.64e-06	0.302	0.658	116.992	212600	4	Welcome To New York	Taylor Swift	POP
1	0.76	0.703	5	-5.412	1	0.054	0.103	0.0	0.0913	0.57	95.997	231827	4	Blank Space	Taylor Swift	POP
2	0.588	0.791	7	-5.595	1	0.0402	0.00245	0.00258	0.118	0.487	94.933	231000	4	Style	Taylor Swift	POP
3	0.553	0.841	7	-6.937	1	0.0396	0.000743	1.19e-05	0.341	0.338	92.008	235800	4	Out Of The Woods	Taylor Swift	POP
4	0.605	0.725	5	-5.729	1	0.0323	0.00201	2.02e-05	0.101	0.539	96.97	193293	4	All You Had To Do Was Stay	Taylor Swift	POP
5	0.647	0.8	7	-5.384	1	0.165	0.0647	0.0	0.334	0.942	160.078	219200	4	Shake It Off	Taylor Swift	POP
6	0.653	0.893	0	-5.966	1	0.0538	0.0158	4.95e-05	0.102	0.513	118.035	207440	4	I Wish You Would	Taylor Swift	POP
7	0.646	0.794	7	-6.104	1	0.19	0.0885	6.16e-06	0.201	0.287	170.216	211933	4	Bad Blood	Taylor Swift	POP
8	0.55	0.688	8	-7.416	1	0.0897	0.0692	0.00144	0.106	0.465	139.997	220440	4	Wildest Dreams	Taylor Swift	POP
