	Unnamed: 0	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	track_name	artist	genre	A	Ab	Bb	C	C#	D	E	Eb	F	F#	G	major
0	0	0.455	0.9	-5.029	0.393	0.272	0.0	0.0945	0.188	150.14	70531	4	Intro: O!RUL8,2?	BTS	1	0	0	0	0	0	0	0	0	0	0	1	1
1	1	0.595	0.914	-3.764	0.166	0.0389	0.0	0.457	0.572	146.89	209752	4	N.O	BTS	1	0	0	0	0	0	0	0	0	0	0	0	0
2	2	0.801	0.797	-4.319	0.163	0.0405	2.39e-06	0.115	0.801	97.009	230885	4	We On	BTS	1	0	0	0	0	0	1	0	0	0	0	0	0
3	3	0.535	0.382	-18.76	0.645	0.852	0.0	0.311	0.609	86.969	148073	4	Skit: R U Happy Now?	BTS	1	0	0	0	0	1	0	0	0	0	0	0	1
4	4	0.744	0.725	-6.29	0.112	0.0434	0.0	0.296	0.729	95.981	247450	4	If I Ruled the World	BTS	1	0	0	0	0	0	0	0	0	0	0	1	1
5	5	0.656	0.798	-6.608	0.103	0.00862	0.0	0.321	0.573	92.031	260433	4	Coffee	BTS	1	0	0	0	1	0	0	0	0	0	0	0	1
6	6	0.751	0.903	-5.413	0.354	0.539	0.0	0.343	0.858	96.548	131192	4	BTS Cypher Pt.1	BTS	1	0	0	0	0	0	1	0	0	0	0	0	1
7	7	0.72	0.962	-2.555	0.268	0.2	0.0	0.165	0.667	118.025	246526	4	Attack on Bangtan	BTS	1	0	0	0	0	0	0	0	0	0	0	0	0
8	8	0.564	0.945	-3.11	0.243	0.0789	0.0	0.0873	0.871	105.018	205061	4	Paldogangsan	BTS	1	0	0	0	0	0	0	0	0	0	0	0	0
9	9	0.693	0.392	-6.615	0.0439	0.0508	0.0	0.144	0.472	131.863	86045	4	Outro: Luv in Skool	BTS	1	0	0	0	0	0	0	0	0	1	0	0	1
